1,48:AC:BE:42:8F:32,LightBlue,627,1388420365.868520,1388420377.394692
2,48:AC:BE:42:8F:32,LightBlue,677,1388420386.981659,1388420398.858940
3,48:AC:BE:42:8F:32,LightBlue,531,1388420407.595821,1388420418.842001
4,48:AC:BE:42:8F:32,LightBlue,451,1388420427.249502,1388420436.745912
5,48:AC:BE:42:8F:32,LightBlue,337,1388420444.978731,1388420454.937827
6,48:AC:BE:42:8F:32,LightBlue,353,1388420462.895620,1388420472.848698
7,48:AC:BE:42:8F:32,LightBlue,8,1388420481.937617,1388420482.063629
8,48:AC:BE:42:8F:32,LightBlue,54,1388420487.387686,1388420490.784574
9,48:AC:BE:42:8F:32,LightBlue,45,1388420498.125316,1388420507.881447
10,48:AC:BE:42:8F:32,LightBlue,26,1388420517.869395,1388420522.791908
11,48:AC:BE:42:8F:32,LightBlue,2,1388420526.871326,1388420526.873412
12,48:AC:BE:42:8F:32,LightBlue,23,1388420537.010399,1388420545.043254
13,48:AC:BE:42:8F:32,LightBlue,3,1388420560.130337,1388420560.918901
14,48:AC:BE:42:8F:32,LightBlue,1,1388420579.896889,1388420579.896889
15,48:AC:BE:42:8F:32,LightBlue,2,1388420606.399672,1388420607.899829
16,48:AC:BE:42:8F:32,LightBlue,5,1388420626.848816,1388420626.915852
