0ft,1,44:FE:45:58:DB:CB,LightBlue,1388528779,356205.1388528787,249960.3069616128
5ft,2,44:FE:45:58:DB:CB,LightBlue,1388528852,187762.1388528852,823833.3069616128
5ft,2,45:D2:6D:01:0D:03,LightBlue,1388528853,232871.1388528858,578452.3069616128
10ft,3,45:D2:6D:01:0D:03,LightBlue,1388528913,693222.1388528921,308049.3069616128
15ft,4,45:D2:6D:01:0D:03,LightBlue,1388528995,326825.1388529002,920641.3069616128
20ft,5,45:D2:6D:01:0D:03,LightBlue,1388529055,219120.1388529062,334811.3069616128
25ft,6,45:D2:6D:01:0D:03,LightBlue,1388529112,886786.1388529119,791927.3069616128
30ft,7,45:D2:6D:01:0D:03,LightBlue,1388529170,471252.1388529190,645386.3069616128
Unknown,8,45:D2:6D:01:0D:03,LightBlue,1388529198,187032.1388529206,78007.000036
35ft,9,45:D2:6D:01:0D:03,LightBlue,1388529259,678633.1388529267,296451.3069616128
40ft,10,45:D2:6D:01:0D:03,LightBlue,1388529309,816911.1388529318,652849.3069616128
